DATE,TIME,DATE.TIME,PLACE,PM2.5,DateTime
12/9/2015,22:40:00,12/9/2015 22:40,B801,33.1,2015-12-09 22:40:00
12/9/2015,22:45:00,12/9/2015 22:45,B801,31.7,2015-12-09 22:45:00
12/9/2015,22:50:00,12/9/2015 22:50,B801,33.1,2015-12-09 22:50:00
12/9/2015,22:55:00,12/9/2015 22:55,B801,31.4,2015-12-09 22:55:00
12/9/2015,23:00:00,12/9/2015 23:00,B801,31.8,2015-12-09 23:00:00
12/9/2015,23:05:00,12/9/2015 23:05,B801,30.4,2015-12-09 23:05:00
12/9/2015,23:10:00,12/9/2015 23:10,B801,32.5,2015-12-09 23:10:00
12/9/2015,23:15:00,12/9/2015 23:15,B801,31,2015-12-09 23:15:00
12/9/2015,23:20:00,12/9/2015 23:20,B801,30.8,2015-12-09 23:20:00
12/9/2015,23:25:00,12/9/2015 23:25,B801,29.4,2015-12-09 23:25:00
12/9/2015,23:30:00,12/9/2015 23:30,B801,29.9,2015-12-09 23:30:00
12/9/2015,23:35:00,12/9/2015 23:35,B801,28.7,2015-12-09 23:35:00
12/9/2015,23:40:00,12/9/2015 23:40,B801,26,2015-12-09 23:40:00
12/9/2015,23:45:00,12/9/2015 23:45,B801,27.8,2015-12-09 23:45:00
12/9/2015,23:50:00,12/9/2015 23:50,B801,25.1,2015-12-09 23:50:00
12/9/2015,23:55:00,12/9/2015 23:55,B801,24.7,2015-12-09 23:55:00
12/10/2015,0:00:00,12/10/2015 0:00,B801,26.5,2015-12-10 00:00:00
12/10/2015,0:05:00,12/10/2015 0:05,B801,24.6,2015-12-10 00:05:00
12/10/2015,0:10:00,12/10/2015 0:10,B801,23.6,2015-12-10 00:10:00
12/10/2015,0:15:00,12/10/2015 0:15,B801,23.9,2015-12-10 00:15:00
12/10/2015,0:20:00,12/10/2015 0:20,B801,25.8,2015-12-10 00:20:00
12/10/2015,0:25:00,12/10/2015 0:25,B801,22.3,2015-12-10 00:25:00
12/10/2015,0:30:00,12/10/2015 0:30,B801,25.9,2015-12-10 00:30:00
12/10/2015,0:35:00,12/10/2015 0:35,B801,23,2015-12-10 00:35:00
12/10/2015,0:40:00,12/10/2015 0:40,B801,24,2015-12-10 00:40:00
12/10/2015,0:45:00,12/10/2015 0:45,B801,25.8,2015-12-10 00:45:00
12/10/2015,0:50:00,12/10/2015 0:50,B801,25.1,2015-12-10 00:50:00
12/10/2015,0:55:00,12/10/2015 0:55,B801,23.2,2015-12-10 00:55:00
12/10/2015,1:00:00,12/10/2015 1:00,B801,27.1,2015-12-10 01:00:00
12/10/2015,1:05:00,12/10/2015 1:05,B801,24.4,2015-12-10 01:05:00
12/10/2015,1:10:00,12/10/2015 1:10,B801,25.7,2015-12-10 01:10:00
12/10/2015,1:15:00,12/10/2015 1:15,B801,25.2,2015-12-10 01:15:00
12/10/2015,1:20:00,12/10/2015 1:20,B801,24.8,2015-12-10 01:20:00
12/10/2015,1:25:00,12/10/2015 1:25,B801,27.4,2015-12-10 01:25:00
12/10/2015,1:30:00,12/10/2015 1:30,B801,29,2015-12-10 01:30:00
12/10/2015,1:35:00,12/10/2015 1:35,B801,26.5,2015-12-10 01:35:00
12/10/2015,1:40:00,12/10/2015 1:40,B801,27.6,2015-12-10 01:40:00
12/10/2015,1:45:00,12/10/2015 1:45,B801,26.1,2015-12-10 01:45:00
12/10/2015,1:50:00,12/10/2015 1:50,B801,26.6,2015-12-10 01:50:00
12/10/2015,1:55:00,12/10/2015 1:55,B801,27.4,2015-12-10 01:55:00
12/10/2015,2:00:00,12/10/2015 2:00,B801,25.6,2015-12-10 02:00:00
12/10/2015,2:05:00,12/10/2015 2:05,B801,26.5,2015-12-10 02:05:00
12/10/2015,2:10:00,12/10/2015 2:10,B801,26.1,2015-12-10 02:10:00
12/10/2015,2:15:00,12/10/2015 2:15,B801,27.7,2015-12-10 02:15:00
12/10/2015,2:20:00,12/10/2015 2:20,B801,28.4,2015-12-10 02:20:00
12/10/2015,2:25:00,12/10/2015 2:25,B801,24.7,2015-12-10 02:25:00
12/10/2015,2:30:00,12/10/2015 2:30,B801,27.7,2015-12-10 02:30:00
12/10/2015,2:35:00,12/10/2015 2:35,B801,27.1,2015-12-10 02:35:00
12/10/2015,2:40:00,12/10/2015 2:40,B801,26,2015-12-10 02:40:00
12/10/2015,2:45:00,12/10/2015 2:45,B801,27.3,2015-12-10 02:45:00
12/10/2015,2:50:00,12/10/2015 2:50,B801,29.8,2015-12-10 02:50:00
12/10/2015,2:55:00,12/10/2015 2:55,B801,29.6,2015-12-10 02:55:00
12/10/2015,3:00:00,12/10/2015 3:00,B801,28.4,2015-12-10 03:00:00
12/10/2015,3:05:00,12/10/2015 3:05,B801,29.6,2015-12-10 03:05:00
12/10/2015,3:10:00,12/10/2015 3:10,B801,29.5,2015-12-10 03:10:00
12/10/2015,3:15:00,12/10/2015 3:15,B801,30.3,2015-12-10 03:15:00
12/10/2015,3:20:00,12/10/2015 3:20,B801,31.8,2015-12-10 03:20:00
12/10/2015,3:25:00,12/10/2015 3:25,B801,31.7,2015-12-10 03:25:00
12/10/2015,3:30:00,12/10/2015 3:30,B801,31,2015-12-10 03:30:00
12/10/2015,3:35:00,12/10/2015 3:35,B801,30,2015-12-10 03:35:00
12/10/2015,3:40:00,12/10/2015 3:40,B801,32.8,2015-12-10 03:40:00
12/10/2015,3:45:00,12/10/2015 3:45,B801,32.7,2015-12-10 03:45:00
12/10/2015,3:50:00,12/10/2015 3:50,B801,31.6,2015-12-10 03:50:00
12/10/2015,3:55:00,12/10/2015 3:55,B801,32.4,2015-12-10 03:55:00
12/10/2015,4:00:00,12/10/2015 4:00,B801,32.3,2015-12-10 04:00:00
12/10/2015,4:05:00,12/10/2015 4:05,B801,32.8,2015-12-10 04:05:00
12/10/2015,4:10:00,12/10/2015 4:10,B801,30.7,2015-12-10 04:10:00
12/10/2015,4:15:00,12/10/2015 4:15,B801,29.8,2015-12-10 04:15:00
12/10/2015,4:20:00,12/10/2015 4:20,B801,29.6,2015-12-10 04:20:00
12/10/2015,4:25:00,12/10/2015 4:25,B801,28.5,2015-12-10 04:25:00
12/10/2015,4:30:00,12/10/2015 4:30,B801,30,2015-12-10 04:30:00
12/10/2015,4:35:00,12/10/2015 4:35,B801,27.8,2015-12-10 04:35:00
12/10/2015,4:40:00,12/10/2015 4:40,B801,29.8,2015-12-10 04:40:00
12/10/2015,4:45:00,12/10/2015 4:45,B801,27.8,2015-12-10 04:45:00
12/10/2015,4:50:00,12/10/2015 4:50,B801,26.9,2015-12-10 04:50:00
12/10/2015,4:55:00,12/10/2015 4:55,B801,27.1,2015-12-10 04:55:00
12/10/2015,5:00:00,12/10/2015 5:00,B801,25.6,2015-12-10 05:00:00
12/10/2015,5:05:00,12/10/2015 5:05,B801,25.4,2015-12-10 05:05:00
12/10/2015,5:10:00,12/10/2015 5:10,B801,27.2,2015-12-10 05:10:00
12/10/2015,5:15:00,12/10/2015 5:15,B801,25.5,2015-12-10 05:15:00
12/10/2015,5:20:00,12/10/2015 5:20,B801,26.1,2015-12-10 05:20:00
12/10/2015,5:25:00,12/10/2015 5:25,B801,24.5,2015-12-10 05:25:00
12/10/2015,5:30:00,12/10/2015 5:30,B801,24.3,2015-12-10 05:30:00
12/10/2015,5:35:00,12/10/2015 5:35,B801,24.8,2015-12-10 05:35:00
12/10/2015,5:40:00,12/10/2015 5:40,B801,24,2015-12-10 05:40:00
12/10/2015,5:45:00,12/10/2015 5:45,B801,22.8,2015-12-10 05:45:00
12/10/2015,5:50:00,12/10/2015 5:50,B801,23,2015-12-10 05:50:00
12/10/2015,5:55:00,12/10/2015 5:55,B801,24.7,2015-12-10 05:55:00
12/10/2015,6:00:00,12/10/2015 6:00,B801,27.1,2015-12-10 06:00:00
12/10/2015,6:05:00,12/10/2015 6:05,B801,24.8,2015-12-10 06:05:00
12/10/2015,6:10:00,12/10/2015 6:10,B801,27.3,2015-12-10 06:10:00
12/10/2015,6:15:00,12/10/2015 6:15,B801,26.5,2015-12-10 06:15:00
12/10/2015,6:20:00,12/10/2015 6:20,B801,25.4,2015-12-10 06:20:00
12/10/2015,6:25:00,12/10/2015 6:25,B801,26.6,2015-12-10 06:25:00
12/10/2015,6:30:00,12/10/2015 6:30,B801,25.4,2015-12-10 06:30:00
12/10/2015,6:35:00,12/10/2015 6:35,B801,28.8,2015-12-10 06:35:00
12/10/2015,6:40:00,12/10/2015 6:40,B801,26.6,2015-12-10 06:40:00
12/10/2015,6:45:00,12/10/2015 6:45,B801,29.8,2015-12-10 06:45:00
12/10/2015,6:50:00,12/10/2015 6:50,B801,31,2015-12-10 06:50:00
12/10/2015,6:55:00,12/10/2015 6:55,B801,31.9,2015-12-10 06:55:00
12/10/2015,7:00:00,12/10/2015 7:00,B801,30.1,2015-12-10 07:00:00
12/10/2015,7:05:00,12/10/2015 7:05,B801,31.2,2015-12-10 07:05:00
12/10/2015,7:10:00,12/10/2015 7:10,B801,32.2,2015-12-10 07:10:00
12/10/2015,7:15:00,12/10/2015 7:15,B801,32.7,2015-12-10 07:15:00
12/10/2015,7:20:00,12/10/2015 7:20,B801,33.6,2015-12-10 07:20:00
12/10/2015,7:25:00,12/10/2015 7:25,B801,36.3,2015-12-10 07:25:00
12/10/2015,7:30:00,12/10/2015 7:30,B801,35.3,2015-12-10 07:30:00
12/10/2015,7:35:00,12/10/2015 7:35,B801,36.6,2015-12-10 07:35:00
12/10/2015,7:40:00,12/10/2015 7:40,B801,50.1,2015-12-10 07:40:00
12/10/2015,7:45:00,12/10/2015 7:45,B801,54.4,2015-12-10 07:45:00
12/10/2015,7:50:00,12/10/2015 7:50,B801,50.3,2015-12-10 07:50:00
12/10/2015,7:55:00,12/10/2015 7:55,B801,55.1,2015-12-10 07:55:00
12/10/2015,8:00:00,12/10/2015 8:00,B801,55.6,2015-12-10 08:00:00
12/10/2015,8:05:00,12/10/2015 8:05,B801,52,2015-12-10 08:05:00
12/10/2015,8:10:00,12/10/2015 8:10,B801,50.6,2015-12-10 08:10:00
12/10/2015,8:15:00,12/10/2015 8:15,B801,48.9,2015-12-10 08:15:00
12/10/2015,8:20:00,12/10/2015 8:20,B801,49.3,2015-12-10 08:20:00
12/10/2015,8:25:00,12/10/2015 8:25,B801,48,2015-12-10 08:25:00
12/10/2015,8:30:00,12/10/2015 8:30,B801,45.8,2015-12-10 08:30:00
